Site,Sample Station (SS) - LOCATION DESCRIPTION,X - Coordinate,Y - Coordinate
32050,"SS - IFO 49 N/S W 96th St, 2nd SS W/O Central Park West, 12""",993434,228077
32150,"SS - W/S St Nicholas Ave, 1st SS N/O 174th St, IFO 1281 St. Nicholas Ave, 12""",1001666,247137
32200,"SS - S/S W 150th St, BTW Convent & St Nicholas Aves, IFO 408 W 150th St 30""",999894,240792
32350,"SS - IFO 116 E/S Ave C, 2nd SS N/O E 7th St, 12""",990189,203193
32400,"SS - E/S 1st Ave, BTW E 29th & E 30th Sts, 48""",991111,209292
32550,"SS - IFO 271 W/S Ave C, 1st SS S/O E 16th St, 20""",991177,205146
32650,"SS - IFO 14 S/S W 18th St, 2nd SS W/O 5th Ave, 12""",986146,208516
32750,"SS - S/S E 57th St, 2nd SS E/O 3rd Ave, 12""",993663,215984
32850,"SS - IFO 138 S/S E 37th St, 2nd SS E/O Lexington Ave, 12""",990374,211810
32950,"SS - W/S 1st Ave, 1st SS S/O E 25th St, IFO 421 1st Ave, 12""",990365,208138
33050,"SS - N/S W 62nd St, 2nd SS E/O Amsterdam Ave, 12""",988401,220494
33100,"SS - E/S 10th Ave/Harlem River Dr. (SS S/O Dyckman St on bike path in park), 30""",1005641,252089
33150,"SS - IFO 200 W/S Nagle Ave, 2nd SS N/O Dyckman St, 12""",1005456,253444
33250,"SS - IFO 925 W/S West End Ave, 1st SS N/O W 105th St, 12""",992843,231209
33300,"SS - S/S W 125th St, BTW 7th & 8th Aves (IFO Lane Bryant Store), 48""",998315,234102
33450,"SS - IFO 135 N/S W 112th St, 2nd SS W/O St Nicholas Ave, 12""",997082,230895
33550,"SS - IFO 115 N/S E 67th St, 2nd SS W/O Lexington Ave, 12""",993886,218935
33600,"SS - W/S 2nd Ave, BTW E 42nd St & 43rd Sts, IFO 801 2nd Ave, 48""",991963,212570
33700,"SS - IFO 69 W/S St Nicholas Ave, BTW W 113th & W 114th Sts, 48""",997356,231253
33850,"SS - IFO 155 N/S E 85th St, 1st SS E/O Lexington Ave, 12""",996612,222939
33950,"SS - N/S E 104th St, 2nd SS E/O 3rd Ave, 12""",999690,227009
34050,"SS - IFO 611 N/S W 181st St, 1st SS W/O St Nicholas Ave, 12""",1002425,248841
34150,"SS - N/S W 151st St, 2nd SS W/O Amsterdam Ave, IFO 529 151st St, 12""",999120,241564
34200,"SS - S/S W 97th St, BTW Columbus & Amsterdam Ave, 36""",993173,228471
34300,"SS - S/S W 40th St, BTW Broadway & 7th Ave, 48""",987649,214195
34350,"SS - E/S 6th Ave, BTW W 37th & W 38th Sts, IFO 1016 6th Ave, 20""",988136,213267
34550,"SS - IFO 133 N/S 128th St, 2nd SS W/O Lenox Ave, 12""",999264,234562
34650,"SS - IFO 1066 E/S St Nicholas Ave, BTW W 163rd & W 164th Sts, 12""",1000866,244313
34700,"SS - S/S W 165th St, BTW Edgecombe & Amsterdam Aves, 30""",1001663,244320
34850,"SS - OPP 40 N/S W 53rd St, 2nd SS E/O 6th Ave, IFO MOMA 12""",990391,216650
34950,"SS - IFO 686 S/S Academy St, 2nd SS W/O Broadway St, 12""",1004822,255197
35050,"SS - IFO 565 N/S W 125th St, 1st SS W/O Old Broadway, 20""",995934,236325
35100,"SS - E/S Central Park West, BTW W 93rd & W 94th Sts, 30""",993736,227094
35150,"SS - IFO 21 E/S Bennett Ave, 2nd SS N/O W 181st St, 20""",1001925,249470
35200,"SS - S/S W 65th St, BTW Broadway & Central Park West, 36""",989646,220635
35350,"SS - IFO 541 N/S W 207th (Emerson) St, 1st SS E/O Sherman Ave, 12""",1006457,254634
35450,"SS - IFO 500 N/S E 76th St, 2nd SS E/O York Ave, 12""",997934,219442
35550,"SS - N/S Washington Square S, 1st SS W/O Washington Square E (OPP 70 Washington Square E), 12""",985154,205130
35650,"SS - N/S W 25th St, 2nd SS W/O Broadway,  OPP 28 W 25th St 12""",986871,210227
35750,"SS - N/S W 83rd St, 2nd SS W/O Central Park West, 12""",992124,224820
